type_id,typeName,Description
1,Double,blending rich history with premium contemporary comfort
2,Double,blending rich history with premium contemporary comfort
3,Deluxe,city-center boutique hotel
4,Double,Experience timeless elegance with a modern twist in our luxurious
5,Double,Experience timeless elegance with a modern twist in our luxurious
6,Double,city-center boutique hotel
7,Single,blending rich history with premium contemporary comfort
8,Deluxe,Experience timeless elegance with a modern twist in our luxurious
9,Deluxe,Experience timeless elegance with a modern twist in our luxurious
10,Single,Experience timeless elegance with a modern twist in our luxurious
11,Double,Experience timeless elegance with a modern twist in our luxurious
12,Deluxe,city-center boutique hotel
13,Single,city-center boutique hotel
14,Single,city-center boutique hotel
15,Single,city-center boutique hotel
16,Single,blending rich history with premium contemporary comfort
17,Single,Experience timeless elegance with a modern twist in our luxurious
18,Single,city-center boutique hotel
19,Deluxe,Experience timeless elegance with a modern twist in our luxurious
20,Deluxe,city-center boutique hotel
21,Double,city-center boutique hotel
22,Single,city-center boutique hotel
23,Double,city-center boutique hotel
24,Deluxe,city-center boutique hotel
25,Single,city-center boutique hotel
26,Double,blending rich history with premium contemporary comfort
27,Single,blending rich history with premium contemporary comfort
28,Double,blending rich history with premium contemporary comfort
29,Deluxe,city-center boutique hotel
30,Deluxe,blending rich history with premium contemporary comfort
31,Double,Experience timeless elegance with a modern twist in our luxurious
32,Single,Experience timeless elegance with a modern twist in our luxurious
33,Deluxe,Experience timeless elegance with a modern twist in our luxurious
34,Single,Experience timeless elegance with a modern twist in our luxurious
35,Single,city-center boutique hotel
36,Deluxe,Experience timeless elegance with a modern twist in our luxurious
37,Deluxe,Experience timeless elegance with a modern twist in our luxurious
38,Double,city-center boutique hotel
39,Double,Experience timeless elegance with a modern twist in our luxurious
40,Deluxe,blending rich history with premium contemporary comfort
41,Deluxe,city-center boutique hotel
42,Single,Experience timeless elegance with a modern twist in our luxurious
43,Double,city-center boutique hotel
44,Single,blending rich history with premium contemporary comfort
45,Deluxe,blending rich history with premium contemporary comfort
46,Double,city-center boutique hotel
47,Deluxe,city-center boutique hotel
48,Single,city-center boutique hotel
49,Double,city-center boutique hotel
50,Double,city-center boutique hotel
51,Deluxe,Experience timeless elegance with a modern twist in our luxurious
52,Double,city-center boutique hotel
53,Deluxe,blending rich history with premium contemporary comfort
54,Deluxe,blending rich history with premium contemporary comfort
55,Single,blending rich history with premium contemporary comfort
56,Double,Experience timeless elegance with a modern twist in our luxurious
57,Deluxe,Experience timeless elegance with a modern twist in our luxurious
58,Deluxe,Experience timeless elegance with a modern twist in our luxurious
59,Single,blending rich history with premium contemporary comfort
60,Single,city-center boutique hotel
61,Double,Experience timeless elegance with a modern twist in our luxurious
62,Double,city-center boutique hotel
63,Deluxe,Experience timeless elegance with a modern twist in our luxurious
64,Double,Experience timeless elegance with a modern twist in our luxurious
65,Double,city-center boutique hotel
66,Single,blending rich history with premium contemporary comfort
67,Single,blending rich history with premium contemporary comfort
68,Single,blending rich history with premium contemporary comfort
69,Double,blending rich history with premium contemporary comfort
70,Single,blending rich history with premium contemporary comfort
71,Deluxe,city-center boutique hotel
72,Single,blending rich history with premium contemporary comfort
73,Single,Experience timeless elegance with a modern twist in our luxurious
74,Double,city-center boutique hotel
75,Double,blending rich history with premium contemporary comfort
76,Deluxe,Experience timeless elegance with a modern twist in our luxurious
77,Single,blending rich history with premium contemporary comfort
78,Double,city-center boutique hotel
79,Double,Experience timeless elegance with a modern twist in our luxurious
80,Double,blending rich history with premium contemporary comfort
81,Single,Experience timeless elegance with a modern twist in our luxurious
82,Double,Experience timeless elegance with a modern twist in our luxurious
83,Double,city-center boutique hotel
84,Single,blending rich history with premium contemporary comfort
85,Single,city-center boutique hotel
86,Deluxe,blending rich history with premium contemporary comfort
87,Double,blending rich history with premium contemporary comfort
88,Single,city-center boutique hotel
89,Double,Experience timeless elegance with a modern twist in our luxurious
90,Double,Experience timeless elegance with a modern twist in our luxurious
91,Deluxe,blending rich history with premium contemporary comfort
92,Deluxe,blending rich history with premium contemporary comfort
93,Deluxe,Experience timeless elegance with a modern twist in our luxurious
94,Single,Experience timeless elegance with a modern twist in our luxurious
95,Double,city-center boutique hotel
96,Double,city-center boutique hotel
97,Deluxe,city-center boutique hotel
98,Deluxe,city-center boutique hotel
99,Double,blending rich history with premium contemporary comfort
100,Double,city-center boutique hotel
101,Single,blending rich history with premium contemporary comfort
102,Double,city-center boutique hotel
103,Double,city-center boutique hotel
104,Single,Experience timeless elegance with a modern twist in our luxurious
105,Deluxe,Experience timeless elegance with a modern twist in our luxurious
106,Deluxe,blending rich history with premium contemporary comfort
107,Double,city-center boutique hotel
108,Double,Experience timeless elegance with a modern twist in our luxurious
109,Deluxe,city-center boutique hotel
110,Deluxe,Experience timeless elegance with a modern twist in our luxurious
111,Deluxe,Experience timeless elegance with a modern twist in our luxurious
112,Single,Experience timeless elegance with a modern twist in our luxurious
113,Single,city-center boutique hotel
114,Single,blending rich history with premium contemporary comfort
115,Double,blending rich history with premium contemporary comfort
116,Deluxe,city-center boutique hotel
117,Single,blending rich history with premium contemporary comfort
118,Single,Experience timeless elegance with a modern twist in our luxurious
119,Double,blending rich history with premium contemporary comfort
120,Deluxe,city-center boutique hotel
